"시도별","경제활동별",2021 p),2021 p),2021 p)
"시도별","경제활동별",명목,실질,실질기여도
"충청남도","　　목재종이인쇄 및 복제업",816873,706371,-0.01
"충청남도","　　석탄 및 석유 화학제품 제조업",15246917,12863984,0.50
"충청남도","　　비금속광물 및 금속제품 제조업",10103876,7644717,0.27
"충청남도","　　전기 전자 및 정밀기기 제조업",20967138,23350157,1.43
"충청남도","　　기계 운송장비 및 기타 제품 제조업",9768295,10736416,0.89
"충청남도","전기, 가스, 증기 및 공기 조절 공급업",2718233,4858438,-0.04
"충청남도","건설업",6664004,5346175,0.03
"충청남도","서비스업",38334933,34714869,0.91
"충청남도","　도매 및 소매업",3314782,3300406,0.05
"충청남도","　운수 및 창고업",2432084,2242099,-0.01
"충청남도","　숙박 및 음식점업",1687912,1485624,0.05
"충청남도","　정보통신업",796371,924671,0.02
"충청남도","　금융 및 보험업",2813558,2755995,0.15
"충청남도","　부동산업",4198015,3990043,0.07
"충청남도","　사업서비스업",5372662,4469122,0.03
"충청남도","　공공 행정, 국방 및 사회보장 행정",7187098,6168731,0.07
"충청남도","　교육 서비스업",4728691,4322790,0.20
"충청남도","　보건업 및 사회복지 서비스업",3526893,3250043,0.13
"충청남도","　문화 및 기타서비스업",2276867,1796950,0.14
"전라북도","지역내총생산(시장가격)",55461662,50398818,2.61
"전라북도","순생산물세",4565831,3939514,-0.10
"전라북도","총부가가치(기초가격)",50895831,46447770,2.71
"전라북도","농업, 임업 및 어업",3910363,3359457,0.24
"전라북도","광제조업",12273365,11101410,1.42
"전라북도","　광업",110121,111220,-0.01
"전라북도","　제조업",12163244,10989970,1.42
"전라북도","　　음식료품 및 담배제조업",2156725,1933972,0.03
"전라북도","　　섬유 의복 및 가죽 제품 제조업",183419,166948,-0.01
"전라북도","　　목재종이인쇄 및 복제업",702769,606165,0.10
"전라북도","　　석탄 및 석유 화학제품 제조업",2879833,2350377,0.06
"전라북도","　　비금속광물 및 금속제품 제조업",2894118,2263545,0.38
"전라북도","　　전기 전자 및 정밀기기 제조업",875775,935328,0.19
"전라북도","　　기계 운송장비 및 기타 제품 제조업",2470605,2732058,0.68
"전라북도","전기, 가스, 증기 및 공기 조절 공급업",877476,1533760,0.09
"전라북도","건설업",3720269,2972705,-0.45
