LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_ARBY_STDIZ_FCLTY_SCORE
문화예술,지역문화시설,광주광역시 광산구,9.38803
문화예술,지역문화시설,대전광역시 동구,12.68856
문화예술,지역문화시설,대전광역시 중구,26.51432
문화예술,지역문화시설,대전광역시 서구,19.267
문화예술,지역문화시설,대전광역시 유성구,8.75319
문화예술,지역문화시설,대전광역시 대덕구,25.75025
문화예술,지역문화시설,울산광역시 중구,29.21561
문화예술,지역문화시설,울산광역시 남구,10.48312
문화예술,지역문화시설,울산광역시 동구,24.43011
문화예술,지역문화시설,울산광역시 북구,5.42874
문화예술,지역문화시설,울산광역시 울주군,2.99907
문화예술,지역문화시설,세종특별자치시 세종특별자치시,3.61599
문화예술,지역문화시설,경기도 수원시,4.3501
문화예술,지역문화시설,경기도 성남시,9.12878
문화예술,지역문화시설,경기도 의정부시,99.8034
문화예술,지역문화시설,경기도 안양시,58.48595
문화예술,지역문화시설,경기도 부천시,8.89943
문화예술,지역문화시설,경기도 광명시,41.9206
문화예술,지역문화시설,경기도 평택시,74.61284
문화예술,지역문화시설,경기도 동두천시,6.38809
문화예술,지역문화시설,경기도 안산시,11.32723
문화예술,지역문화시설,경기도 고양시,81.25548
문화예술,지역문화시설,경기도 과천시,7.78656
문화예술,지역문화시설,경기도 구리시,9.93442
문화예술,지역문화시설,경기도 남양주시,43.21118
문화예술,지역문화시설,경기도 오산시,8.42316
문화예술,지역문화시설,경기도 시흥시,13.303
문화예술,지역문화시설,경기도 군포시,2.51044
문화예술,지역문화시설,경기도 의왕시,15.09637
문화예술,지역문화시설,경기도 하남시,2.65346
문화예술,지역문화시설,경기도 용인시,5.89782
문화예술,지역문화시설,경기도 파주시,2.00856
문화예술,지역문화시설,경기도 이천시,2.51094
문화예술,지역문화시설,경기도 안성시,69.97267
문화예술,지역문화시설,경기도 김포시,2.13036
문화예술,지역문화시설,경기도 화성시,69.80538
